"Genotype","Pollination","Herbivory","HCN","Flower.date","Avg.Bnr.Wdth","Avg.Bnr.Ht","Biomass.plant","Num.flwrs","Total.Inf","Block"
"172-4","Supp","Reduced","Yes",6,2.85,6.38,11.28,43,13,"B"
"172-4","Open","Reduced","Yes",11,3.51,7.5,76.45,56.5,101,"E"
"172-4","Supp","Ambient","Yes",7,NA,NA,NA,NA,1,"F"
"172-4","Open","Ambient","Yes",19,3.36,7.17,37.45,52,38,"C"
"172-4","Supp","Reduced","Yes",8,3.35,7.55,35.89,55,29,"D"
"172-4","Supp","Ambient","Yes",8,3.28,7.21,132.55,61,82,"D"
"172-4","Supp","Ambient","Yes",6,3.26,6.53,6.45,51.5,9,"A"
"172-4","Open","Ambient","Yes",20,3.43,7.56,101.54,63,90,"F"
"128-5","Open","Reduced","Yes",17,3.23,6.54,16.34,64.5,38,"E"
"128-5","Open","Ambient","Yes",76,NA,NA,23.34,NA,20,"E"
"128-5","Open","Reduced","Yes",18,3.48,6.91,17.95,60.5,38,"B"
"128-5","Open","Reduced","Yes",9,2.87,5.5,17.38,48,47,"B"
"128-5","Supp","Reduced","Yes",15,2.88,6.39,40.87,66,195,"D"
"128-5","Open","Reduced","Yes",7,3.19,6.67,16.57,61,56,"E"
"128-5","Supp","Reduced","Yes",NA,NA,NA,5.07,NA,0,"A"
"128-5","Open","Ambient","Yes",14,2.44,5.57,10.36,63.5,18,"A"
"128-5","Supp","Reduced","Yes",33,3.03,6.28,15.32,67,48,"B"
"128-5","Open","Ambient","Yes",14,3.27,6.52,40.3,61,134,"D"
"128-5","Supp","Reduced","Yes",17,3.1,6.5,20.09,55.5,108,"B"
"128-5","Supp","Ambient","Yes",35,3.46,7.06,29.13,60,79,"D"
"128-5","Open","Ambient","Yes",15,3.04,5.78,40.89,68,145,"E"
"128-5","Supp","Ambient","Yes",13,3.07,6.06,4.9,57,14,"C"
"128-5","Supp","Ambient","Yes",15,2.93,6.29,14.99,68.5,36,"D"
"128-5","Supp","Ambient","Yes",23,3.13,6.39,34.64,66,135,"A"
"28-2","Open","Reduced","No",95,NA,NA,20,51,3,"E"
"28-2","Supp","Ambient","No",18,3.22,6.05,45.12,46,5,"A"
"28-2","Supp","Reduced","No",25,NA,NA,15.85,55,2,"B"
"28-2","Open","Reduced","No",NA,NA,NA,5.02,NA,0,"F"
"28-2","Open","Ambient","No",21,3.04,5.17,43.37,NA,1,"E"
"28-2","Supp","Reduced","No",32,3.14,6,58.85,52,9,"F"
"28-2","Supp","Ambient","No",25,3.09,5.74,95.88,49,3,"F"
"28-2","Open","Ambient","No",NA,NA,NA,34.34,NA,0,"D"
"28-2","Supp","Ambient","No",41,NA,NA,15.42,NA,0,"E"
"28-2","Open","Ambient","No",29,3.41,5.73,91.24,NA,2,"F"
"28-2","Supp","Reduced","No",31,2.84,5.66,30.24,NA,1,"D"
"28-2","Supp","Ambient","No",NA,NA,NA,44.35,NA,0,"C"
"28-2","Open","Reduced","No",84,NA,NA,18.75,55,2,"B"
"28-2","Supp","Reduced","No",29,3.14,6.24,81.61,49,58,"C"
"28-2","Open","Ambient","No",NA,NA,NA,8.89,NA,1,"A"
"28-2","Open","Reduced","No",31,NA,NA,61.48,52,8,"E"
"50-1","Open","Ambient","No",65,3.22,6.14,25.04,42,68,"E"
"50-1","Supp","Reduced","No",17,2.79,5.85,17.29,44,33,"B"
"50-1","Open","Reduced","No",22,2.75,5.52,6.82,49.5,40,"F"
"50-1","Supp","Ambient","No",15,2.81,5.67,10.24,47.5,178,"F"
"50-1","Supp","Ambient","No",8,3.07,5.55,47.5,44,59,"D"
"50-1","Supp","Reduced","No",17,2.93,6.16,57.97,49,185,"B"
"50-1","Supp","Reduced","No",48,2.72,5.7,3.48,48,8,"F"
"50-1","Open","Reduced","No",16,3.14,6.49,18.19,48.5,15,"E"
"50-1","Open","Ambient","No",8,2.76,5.55,17.63,42,26,"B"
"50-1","Open","Ambient","No",48,NA,NA,9.46,49,6,"C"
"50-1","Supp","Reduced","No",11,3.07,6.52,24.61,42,21,"E"
"50-1","Open","Reduced","No",15,3.16,6.33,57.7,48,361,"E"
"50-1","Open","Reduced","No",74,3.19,6.64,NA,42,21,"A"
"50-1","Supp","Ambient","No",17,2.82,5.77,35.75,44.5,56,"B"
"50-1","Open","Ambient","No",14,2.83,5.5,44.84,47,55,"B"
"50-1","Supp","Ambient","No",14,2.69,5.4,10.78,50,6,"B"
"144-1","Supp","Ambient","Yes",18,2.95,5.65,11.01,NA,6,"D"
"144-1","Supp","Ambient","Yes",73,NA,NA,8.08,NA,0,"A"
"144-1","Supp","Reduced","Yes",18,3.31,6.57,38.72,52.5,31,"E"
"144-1","Open","Ambient","Yes",10,NA,NA,12.98,40,2,"D"
"144-1","Open","Reduced","Yes",36,3.23,5.74,15.63,57,8,"C"
"144-1","Open","Ambient","Yes",30,2.99,5.83,13.03,49,16,"C"
"144-1","Open","Reduced","Yes",93,NA,NA,5.84,NA,0,"A"
"144-1","Open","Ambient","Yes",17,3.4,6.33,19.28,67.5,19,"C"
"144-1","Open","Ambient","Yes",NA,NA,NA,16.15,NA,0,"A"
"144-1","Open","Reduced","Yes",20,3.48,6.71,39.66,52.5,41,"D"
"144-1","Supp","Reduced","Yes",22,3.57,6.47,18.76,57.5,4,"C"
"144-1","Supp","Reduced","Yes",16,3.15,5.92,18.31,56.5,32,"B"
"144-1","Supp","Reduced","Yes",75,3.45,6.4,15.31,59,8,"D"
"144-1","Supp","Ambient","Yes",43,NA,NA,6.81,NA,1,"B"
"144-1","Open","Reduced","Yes",NA,NA,NA,5.3,NA,0,"C"
"144-1","Supp","Ambient","Yes",NA,NA,NA,2.79,NA,0,"F"
"81-4","Open","Reduced","No",12,3.42,6.3,55.11,55,69,"F"
"81-4","Open","Ambient","No",33,3.39,6.41,56.46,56.5,28,"D"
"81-4","Supp","Ambient","No",21,3.09,5.44,22.45,64,11,"C"
"81-4","Supp","Ambient","No",34,3.27,6.06,37.8,75,39,"D"
"81-4","Open","Reduced","No",14,3.07,5.48,61.61,51,105,"B"
"81-4","Open","Reduced","No",14,3.39,6.2,18.49,60,12,"C"
"81-4","Supp","Reduced","No",36,3.45,6.89,76.7,56,81,"E"
"81-4","Supp","Reduced","No",9,3.52,6.51,88.16,56,271,"D"
"81-4","Supp","Ambient","No",17,3.32,6.1,NA,54,47,"C"
"81-4","Supp","Reduced","No",15,3.49,5.23,39.65,53,98,"F"
"81-4","Supp","Reduced","No",21,2.93,5.9,26.31,50.5,16,"F"
"81-4","Open","Ambient","No",19,3.49,6.39,31.68,70.5,29,"B"
"81-4","Open","Reduced","No",15,3.31,5.73,58.8,59.5,131,"F"
"81-4","Supp","Ambient","No",31,3.56,6.47,51.45,58.5,72,"A"
"81-4","Open","Ambient","No",44,3.55,6.25,84.7,68,142,"C"
"81-4","Open","Ambient","No",21,3.81,7.02,98.91,55,68,"E"
"36-2","Open","Reduced","No",37,3.21,5.79,8.93,30,1,"F"
"36-2","Supp","Reduced","No",43,3.38,6.08,21.12,64,4,"F"
"36-2","Open","Ambient","No",34,3.37,6,31.68,66,10,"D"
"36-2","Supp","Ambient","No",NA,NA,NA,15.08,NA,0,"B"
"36-2","Supp","Ambient","No",35,3.24,5.8,19.87,68.5,6,"E"
"36-2","Supp","Ambient","No",23,3.27,5.97,38.03,60.5,18,"F"
"36-2","Open","Reduced","No",NA,NA,NA,6.91,NA,0,"B"
"36-2","Supp","Reduced","No",63,3.33,6.46,11.88,55.5,14,"D"
"36-2","Open","Reduced","No",31,3.4,6.31,31.99,63,65,"F"
"36-2","Open","Ambient","No",79,3.61,6.53,31.13,58,24,"E"
"36-2","Supp","Reduced","No",29,3.27,5.62,13.55,55,27,"F"
"36-2","Open","Ambient","No",29,3.2,5.55,18.33,64,16,"C"
"36-2","Open","Reduced","No",74,NA,NA,19.49,43,4,"A"
"36-2","Open","Ambient","No",33,3.45,6.11,19.61,67.5,12,"E"
"36-2","Supp","Ambient","No",35,3.49,6.35,72.15,64.5,70,"D"
"36-2","Supp","Reduced","No",39,3.38,6.06,14.08,NA,1,"A"
"114-1","Open","Ambient","Yes",32,NA,NA,9.57,NA,1,"F"
"114-1","Open","Ambient","Yes",36,3.2,5.51,95.37,NA,1,"C"
"114-1","Open","Reduced","Yes",58,3.07,5.33,30.01,74.5,44,"B"
"114-1","Open","Ambient","Yes",NA,NA,NA,99.77,NA,0,"D"
"114-1","Open","Ambient","Yes",12,2.28,4.91,102.34,NA,4,"D"
"114-1","Open","Reduced","Yes",80,3.53,6.91,113.53,64,12,"F"
"114-1","Supp","Reduced","Yes",NA,NA,NA,36.58,NA,0,"B"
"114-1","Supp","Reduced","Yes",NA,NA,NA,13.4,NA,1,"C"
"114-1","Supp","Ambient","Yes",NA,NA,NA,65.28,NA,0,"C"
"114-1","Open","Reduced","Yes",23,3.57,6.4,126.96,75,106,"F"
"114-1","Supp","Ambient","Yes",36,NA,NA,107.66,73,7,"E"
"114-1","Open","Reduced","Yes",90,3.37,5.95,64.84,76,12,"D"
"114-1","Supp","Reduced","Yes",70,3.46,6.69,197,74.5,22,"F"
"114-1","Supp","Ambient","Yes",28,2.97,5.44,28.95,NA,3,"F"
"114-1","Supp","Ambient","Yes",45,NA,NA,26.83,NA,0,"B"
"114-1","Supp","Reduced","Yes",25,3.36,6.17,107.22,NA,3,"B"
"175-2","Open","Reduced","Yes",39,3.26,6.48,13.22,56,45,"C"
"175-2","Open","Ambient","Yes",12,2.89,6,3.8,59.5,8,"F"
"175-2","Supp","Ambient","Yes",31,2.92,5.68,45.35,67,169,"D"
"175-2","Supp","Reduced","Yes",35,2.79,5.67,5.98,53,6,"A"
"175-2","Supp","Ambient","Yes",54,3.11,5.62,12.94,60,6,"B"
"175-2","Open","Reduced","Yes",49,3.03,5.39,33.93,48,40,"A"
"175-2","Open","Reduced","Yes",30,3.13,5.81,22.93,60.5,68,"D"
"175-2","Open","Ambient","Yes",19,2.88,5.21,24.03,65.5,32,"E"
"175-2","Supp","Reduced","Yes",23,3.3,6.02,28.31,83,82,"D"
"175-2","Supp","Ambient","Yes",23,2.68,5.09,19.44,60.5,12,"B"
"175-2","Supp","Reduced","Yes",28,3.1,5.88,22.91,61,56,"C"
"175-2","Supp","Reduced","Yes",38,3.14,5.79,9.93,54.5,12,"E"
"175-2","Open","Ambient","Yes",16,2.94,5.94,74.39,69,163,"D"
"175-2","Open","Reduced","Yes",37,3.24,6.23,31.34,67,109,"E"
"175-2","Open","Ambient","Yes",86,3.25,5.99,5.89,49,1,"D"
"175-2","Supp","Ambient","Yes",9,3.34,6.72,7.2,NA,2,"A"
"16-8","Open","Ambient","Yes",43,3.1,6.02,61.91,58.5,81,"F"
"16-8","Supp","Ambient","Yes",6,2.75,5.06,12.51,58,36,"C"
"16-8","Open","Reduced","Yes",23,2.99,5.93,20.78,44.5,18,"A"
"16-8","Open","Reduced","Yes",11,2.97,5.81,35.67,56.5,39,"B"
"16-8","Supp","Reduced","Yes",37,3.05,6.03,17.99,52,18,"C"
"16-8","Open","Ambient","Yes",37,2.74,5.41,40.34,41.5,32,"A"
"16-8","Supp","Reduced","Yes",6,3.03,6.1,33.54,57.5,19,"B"
"16-8","Supp","Reduced","Yes",63,2.98,5.87,14.9,60.5,12,"A"
"16-8","Open","Ambient","Yes",24,2.83,5.5,31.47,47.5,18,"A"
"16-8","Open","Ambient","Yes",66,3.18,6.17,26.14,54.5,21,"D"
"16-8","Supp","Ambient","Yes",21,2.76,5.23,11.64,51,7,"A"
"16-8","Open","Reduced","Yes",40,3.2,6.25,72.67,59.5,51,"D"
"16-8","Supp","Ambient","Yes",56,2.68,4.96,29.06,56,5,"E"
"16-8","Supp","Ambient","Yes",41,NA,NA,10.86,50,4,"D"
"16-8","Open","Reduced","Yes",19,3.12,6.14,32.34,56.5,39,"D"
"16-8","Supp","Reduced","Yes",48,3.21,6.14,40.75,54.5,33,"C"
"132-1","Open","Ambient","No",22,3.22,6.3,18.75,NA,10,"B"
"132-1","Supp","Reduced","No",17,3.23,6.42,42.23,48,106,"A"
"132-1","Supp","Ambient","No",17,3.58,6.96,16.93,43.5,12,"D"
"132-1","Open","Ambient","No",18,2.81,5.74,42.04,51.5,60,"A"
"132-1","Supp","Ambient","No",18,NA,NA,6.86,NA,9,"E"
"132-1","Open","Reduced","No",36,3.32,6.44,77.7,46.5,77,"F"
"132-1","Open","Ambient","No",19,3.05,6.36,101.1,50,97,"D"
"132-1","Supp","Ambient","No",20,3.12,4.92,37.36,46.5,66,"B"
"132-1","Open","Reduced","No",18,3.09,5.99,50.12,44,43,"F"
"132-1","Supp","Reduced","No",23,3,5.21,7.06,46,11,"E"
"132-1","Open","Reduced","No",35,3.07,5.93,38.78,45.5,48,"D"
"132-1","Supp","Reduced","No",56,3.19,6.07,30.58,42.5,40,"C"
"132-1","Open","Ambient","No",22,3.04,5.86,47.35,54,43,"A"
"132-1","Supp","Ambient","No",36,3.2,6.32,43.1,46,28,"C"
"132-1","Open","Reduced","No",92,NA,NA,4.56,NA,0,"C"
"132-1","Supp","Reduced","No",42,3.27,6.1,72.81,49.5,66,"D"
"75-3","Open","Ambient","No",NA,NA,NA,9.04,NA,0,"C"
"75-3","Open","Reduced","No",28,NA,NA,8.77,40,2,"A"
"75-3","Open","Reduced","No",23,2.87,6.29,33.5,57.5,12,"E"
"75-3","Open","Reduced","No",40,2.92,6.28,41.35,55,5,"D"
"75-3","Supp","Reduced","No",95,NA,NA,48.89,53,2,"E"
"75-3","Supp","Ambient","No",94,NA,NA,6.04,62,1,"D"
"75-3","Supp","Ambient","No",35,NA,NA,10.7,NA,1,"F"
"75-3","Open","Reduced","No",88,NA,NA,10.91,65,2,"B"
"75-3","Open","Ambient","No",35,NA,NA,46.96,54.5,6,"E"
"75-3","Supp","Reduced","No",65,3.16,5.92,7.9,58,2,"F"
"75-3","Supp","Reduced","No",33,2.74,6.37,39.79,NA,3,"F"
"75-3","Open","Ambient","No",NA,NA,NA,27.09,NA,1,"E"
"75-3","Open","Ambient","No",31,NA,NA,19.52,NA,1,"D"
"75-3","Supp","Ambient","No",27,NA,NA,12.31,34,3,"E"
"75-3","Supp","Reduced","No",35,3.01,5.91,NA,56,9,"E"
"75-3","Supp","Ambient","No",NA,NA,NA,8.98,NA,0,"A"
"53-5","Open","Ambient","No",13,3.48,6.17,10.99,52.5,21,"B"
"53-5","Supp","Reduced","No",13,3.24,6.17,17.35,67,41,"D"
"53-5","Open","Reduced","No",10,3.27,6.22,19.99,62.5,37,"E"
"53-5","Open","Reduced","No",8,3.57,6.28,36.44,60.5,45,"E"
"53-5","Supp","Ambient","No",42,NA,NA,19.99,70.5,6,"F"
"53-5","Supp","Reduced","No",62,3.14,5.79,23.85,71.5,28,"C"
"53-5","Open","Ambient","No",8,3.28,5.93,27.46,54.5,36,"D"
"53-5","Supp","Reduced","No",13,3.21,5.99,39.63,70,27,"D"
"53-5","Supp","Reduced","No",19,3.62,6.92,96.58,72,100,"E"
"53-5","Supp","Ambient","No",14,2.83,5.72,37.75,59.5,36,"D"
"53-5","Supp","Ambient","No",8,NA,NA,22.45,52.5,33,"C"
"53-5","Open","Ambient","No",26,3.29,6.72,75.33,63,48,"E"
"53-5","Open","Reduced","No",78,NA,NA,12.12,67,2,"A"
"53-5","Open","Ambient","No",6,3.1,6.08,29.26,73,22,"E"
"53-5","Supp","Ambient","No",NA,NA,NA,3.08,NA,0,"D"
