Record number	In-ref ID	Individual ID	Predator	Predator common name	Predator  taxon	Predator lifestage	Type of feeding interaction	Predator length	Predator length unit	Predator dimension measured	Predator standard length	Predator fork length	Predator total length	Predator TL/FL/SL conversion reference	Standardised predator length	Predator measurement type	Predator length-mass conversion method	Predator length-mass conversion reference	Predator quality of length-mass conversion	Predator mass	Predator mass unit	Predator mass check	Predator mass check diff	Predator ratio mass/mass	SI predator mass	Diet coverage	Prey	Prey common name	Prey taxon	Prey length	Prey length unit	Prey conversion to length method	Prey quality of conversion to length	Prey conversion to length reference	SI prey length	Prey dimension measured	Prey width	Prey width unit	Prey measurement type	Prey mass	Prey mass unit	Prey mass check	Prey mass check diff	Prey ratio mass/mass	SI prey mass	Prey conversion to mass method	Prey conversion to mass reference	Prey quality of conversion to mass	Geographic location	Latitude	Longitude	Depth	Mean annual temp	SD annual temp	Mean PP	SD PP	Reference	Specific habitat	Notes / assumptions
12768	n/a	6044	Raja erinacea	Little skate	ectotherm vertebrate	adult	predacious	450	mm	total length	450	450	450	Fishbase (species)	45	individual	M=0.0027SL^3.184	Waring (1984)	1	495.67	g	4768.9	4273.2	9.6211	495.67	all	unidentified invertebrate	unidentified invertebrate	ectotherm invertebrate	25	mm	n/a	0	n/a	2.5	total length	n/a	n/a	individual	0.32442	g	0.81771	0.49329	2.5205	0.32442	M=(0.015*(L*10)^3.101)/1000	Benke et al (1999)	5	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
16255	Sami 24	6999	Thunnus alalunga	Albacore	ectotherm vertebrate	juvenile	piscivorous	68	cm	standard length	68	71.654	76.636	Fishbase (species)	76.636	individual	M=0.0258L^2.86	Pusineri et al. (2005)	1	6325.5	g	23555	17229	3.7237	6325.5	all	Maurolicus muelleri	Pearlside	ectotherm vertebrate	4.5259	cm	L = 10 ^((logM-log(0.0016))/3.961)	1	Haimovici and Velasco (2000)	4.5259	mass	n/a	n/a	individual	0.63296	g	4.8517	4.2188	7.6652	0.63296	Weighed	n/a	0	Off the Bay of Biscay	45º00'N	18º00'W	4562	15.4	2.5	437	53	Pusineri et al (2005)	Off the continental shelf	None
27043	n/a	14804	Mustelus canis	Smooth dogfish	ectotherm vertebrate	adult	predacious	1060	mm	total length	900.59	0	1060	Fishbase (species)	106	individual	M=0.0023TL^3.1	van der Elst (1981)	1	4366.9	g	62330	57963	14.273	4366.9	all	unidentified invertebrate	unidentified invertebrate	ectotherm invertebrate	110	mm	n/a	0	n/a	11	total length	n/a	n/a	individual	32.096	g	69.656	37.56	2.1702	32.096	M=(0.015*(L*10)^3.101)/1000	Benke et al (1999)	5	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
9437	n/a	3067	Merluccius bilinearis	Silver hake	ectotherm vertebrate	adult	piscivorous	210	mm	total length	188.58	0	210	Fishbase (species)	21	individual	M=0.0039SL^3.16	Schaefer (1960)	1	41.844	g	484.66	442.82	11.583	41.844	all	fish unidentified	fish	ectotherm vertebrate	110	mm	n/a	0	n/a	11	total length	n/a	n/a	individual	13.31	g	69.656	56.346	5.2333	13.31	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
21795	n/a	10072	Gadus morhua	Atlantic cod	ectotherm vertebrate	adult	predacious	680	mm	total length	597.72	680	680	Fishbase (species)	68	individual	M=0.0070SL^3.0870	Bedford et al. (1986)	1	2133.8	g	16455	14322	7.7118	2133.8	all	unidentified invertebrate	unidentified invertebrate	ectotherm invertebrate	10	mm	n/a	0	n/a	1	total length	n/a	n/a	individual	0.018927	g	0.052333	0.033406	2.7649	0.018927	M=(0.015*(L*10)^3.101)/1000	Benke et al (1999)	5	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
9461	n/a	3091	Merluccius bilinearis	Silver hake	ectotherm vertebrate	adult	piscivorous	400	mm	total length	359.2	0	400	Fishbase (species)	40	individual	M=0.0039SL^3.16	Schaefer (1960)	1	320.57	g	3349.3	3028.8	10.448	320.57	all	fish unidentified	fish	ectotherm vertebrate	140	mm	n/a	0	n/a	14	total length	n/a	n/a	individual	27.44	g	143.6	116.16	5.2333	27.44	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
2404	n/a	595	Anarhichas lupus	Atlantic wolf fish	ectotherm vertebrate	juvenile	piscivorous	34	mm	standard length	34	37.298	37.298	Fishbase (species)	3.7298	individual	M=0.0033SL^3.2491	Coull et al. (1989)	1	0.17593	g	2.7154	2.5395	15.435	0.17593	Ammodytes	Ammodytes sp.	Sand lance	ectotherm vertebrate	19.8	mm	n/a	0	n/a	1.98	standard length	n/a	n/a	individual	0.014951	g	0.40623	0.39128	27.171	0.014951	M=0.0017L^3.1828	CEFAS Endeavour cruise 16/05	2	W Greenland	66º20'N	56º00'W	215	2.1	2.3	357	7	Munk (2002)	offshelf and on shelf	None
31388	6184	16583	Nototheniops larseni	Antarctic fish	ectotherm vertebrate	larva	predacious	14.82	mm	standard length	14.82	0	0	n/a	1.482	individual	M=0.0159SL^3	Froese and Pauly (2007)	2	0.051754	g	0.17034	0.11859	3.2914	0.051754	all	Oncaea sp.	copepod	ectotherm invertebrate	0.41	mm	n/a	0	n/a	0.041	cephalothorax length	n/a	n/a	individual	9.4787e-7	g	3.6069e-6	2.659e-6	3.8052	9.4787e-7	M=(2.51x10-8*(L*10000)^2.9)/1000000	Satapoomin (1999)	2	Antarctic Peninsula	63º00'S	58º00'W	881	-1.3	0.6	230	26	Kellermann, A. (1990)	Seasonal Pack Ice Zone	None
8003	n/a	1821	Myoxocephalus octodecimspinosus	Longhorn sculpin	ectotherm vertebrate	adult	predacious	250	mm	total length	215.89	250	250	Fishbase (species)	25	individual	M=0.0116SL^3.1122	Froese and Pauly (2007)	2	164.76	g	817.71	652.95	4.963	164.76	all	unidentified invertebrate	unidentified invertebrate	ectotherm invertebrate	20	mm	n/a	0	n/a	2	total length	n/a	n/a	individual	0.1624	g	0.41867	0.25627	2.578	0.1624	M=(0.015*(L*10)^3.101)/1000	Benke et al (1999)	5	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
20093	n/a	8520	Gadus morhua	Atlantic cod	ectotherm vertebrate	adult	piscivorous	540	mm	total length	474.66	540	540	Fishbase (species)	54	individual	M=0.0070SL^3.0870	Bedford et al. (1986)	1	1047.3	g	8240.6	7193.3	7.8681	1047.3	all	fish unidentified	fish	ectotherm vertebrate	80	mm	n/a	0	n/a	8	total length	n/a	n/a	individual	5.12	g	26.795	21.675	5.2333	5.12	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
